#run-time information,,,,,,,,,,,,,,,,
"#	date run: 	Mon Mar 25 15:22:00 CDT 2024",,,,,,,,,,,,,,,,
"#	sct directory: 	/usr/local/slingshot_tools_26Jul2022_rev2/sct",,,,,,,,,,,,,,,,
"#	sct timestamp: 	2023-10-26 14:35:02",,,,,,,,,,,,,,,,
"#	'non-standard' SCT args: ",,,,,,,,,,,,,,,,
"#	ls config file:	-rwxr-xr-x 1 tuminell employee 17862 Mar 25 15:21 /var/users/systems/eni_revc/eni_revc.yaml",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
cable_id,src_conn_a,src_conn_b,dst_conn_a,dst_conn_b,stage,src_egress_a,src_egress_b,dst_egress_a,dst_egress_b,link_type,src_group,dst_group,part_number,part_length,calculated_distance,route
3207.3104.00.0000,x3207.c0.r42.j26,none,x3104.c0.r42.j6,none,1,x3207-RIGHT,none,x3104-LEFT,none,local,1,1,R4K83A,25,20.8250115,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT']"
3208.3104.00.0000,x3208.c0.r42.j26,none,x3104.c0.r42.j8,none,1,x3208-RIGHT,none,x3104-LEFT,none,local,1,1,R4K83A,25,19.9801568,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT']"
3208.3103.00.0000,x3208.c0.r42.j25,none,x3103.c0.r42.j8,none,1,x3208-RIGHT,none,x3103-LEFT,none,local,1,1,R4K83A,25,20.8010642,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT']"
3208.3102.00.0000,x3208.c0.r42.j28,none,x3102.c0.r42.j8,none,1,x3208-RIGHT,none,x3102-LEFT,none,local,1,1,R4K83A,25,21.6468265,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT']"
3208.3101.00.0000,x3208.c0.r42.j27,none,x3101.c0.r42.j8,none,1,x3208-RIGHT,none,x3101-LEFT,none,local,1,1,R4K83A,25,22.4677891,"['x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT', 'x3102_RIGHT-x3101_LEFT']"
3207.3103.00.0000,x3207.c0.r42.j25,none,x3103.c0.r42.j6,none,1,x3207-RIGHT,none,x3103-LEFT,none,local,1,1,R4K83A,25,21.645919,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT']"
3207.3102.00.0000,x3207.c0.r42.j28,none,x3102.c0.r42.j6,none,1,x3207-RIGHT,none,x3102-LEFT,none,local,1,1,R4K83A,25,22.4916813,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT']"
3207.3101.00.0000,x3207.c0.r42.j27,none,x3101.c0.r42.j6,none,1,x3207-RIGHT,none,x3101-LEFT,none,local,1,1,R4K83A,25,23.3126438,"['x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT', 'x3103_RIGHT-x3102_LEFT', 'x3102_RIGHT-x3101_LEFT']"
3206.3104.00.0000,x3206.c0.r42.j26,none,x3104.c0.r42.j5,none,1,x3206-RIGHT,none,x3104-LEFT,none,local,1,1,R4K83A,25,21.6458884,"['x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT']"
3206.3103.00.0000,x3206.c0.r42.j25,none,x3103.c0.r42.j5,none,1,x3206-RIGHT,none,x3103-LEFT,none,local,1,1,R4K83A,25,22.4667958,"['x3206_RIGHT-x3207_LEFT', 'x3207_RIGHT-x3208_LEFT', 'x3208_RIGHT-x3209_LEFT', 'x11_FRONT-x3209_FRONT', 'x11_RIGHT-x3108_LEFT', 'x3108_RIGHT-x3107_LEFT', 'x3107_RIGHT-x3106_LEFT', 'x3106_RIGHT-x3105_LEFT', 'x3105_RIGHT-x3104_LEFT', 'x3104_RIGHT-x3103_LEFT']"
